"VM";"Powerstate";"Template";"SRM Placeholder";"Config status";"DNS Name";"Connection state";"Guest state";"Heartbeat";"Consolidation Needed";"PowerOn";"Suspend time";"Creation date";"Change Version";"CPUs";"Memory";"NICs";"Disks";"min Required EVC Mode Key ";"Latency Sensitivity";"EnableUUID";"CBT";"Primary IP Address";"Network #1";"Network #2";"Network #3";"Network #4";"Network #5";"Network #6";"Network #7";"Network #8";"Num Monitors";"Video Ram KiB";"Resource pool";"Folder";"vApp";"DAS protection";"FT State";"FT Latency";"FT Bandwidth";"FT Sec. Latency";"Provisioned MiB";"In Use MiB";"Unshared MiB";"HA Restart Priority";"HA Isolation Response";"HA VM Monitoring";"Cluster rule(s)";"Cluster rule name(s)";"Boot Required";"Boot delay";"Boot retry delay";"Boot retry enabled";"Boot BIOS setup";"Firmware";"HW version";"HW upgrade status";"HW upgrade policy";"HW target";"Path";"Log directory";"Snapshot directory";"Suspend directory";"Annotation";"FRBCK10";"Post-it";"Datacenter";"Cluster";"Host";"OS according to the configuration file";"OS according to the VMware Tools";"VM ID";"VM UUID";"VI SDK Server type";"VI SDK API Version";"VI SDK Server";"VI SDK UUID"
"ADMIN-NIT - FRSPRNIT001";"poweredOn";"False";"False";"green";"FRSPRNIT001.stago.grp";"connected";"running";"green";"False";"45284,2515046296";;"25569,0416666667";"45299,3715625";"2";"8192";"2";"3";"intel-ivybridge";"normal";"True";"True";"172.31.100.22";"STAGO-OVH-VLAN29";"Vlan 303";;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/NIT-INFRA";"/pcc-178-33-102-147_datacenter4337/INFRA NIT/Rebond";;"True";"notConfigured";"gray";"-1";"-1";"244146";"201589";"192963";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[ssd-016714] ADMIN-NIT - FRSPRNIT001/ADMIN-NIT - FRSPRNIT001.vmx";"[ssd-016714] ADMIN-NIT - FRSPRNIT001/";"[ssd-016714] ADMIN-NIT - FRSPRNIT001/";"[ssd-016714] ADMIN-NIT - FRSPRNIT001/";"VM NEURONES - ADMIN";;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.50";"Microsoft Windows Server 2012 (64-bit)";"Microsoft Windows Server 2019 (64-bit)";"vm-828";"4236e47c-176f-c8da-27ab-45135179b7b5";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"admsentinel_R77.30-bis";"poweredOn";"False";"False";"green";"admsentinel";"connected";"running";"red";"False";"44952,6151157407";;"44627,7087962963";"45298,4110763889";"2";"8192";"1";"1";"intel-cascadelake";"normal";;"True";"172.31.210.138";"Vlan 6";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Sentinel";;"True";"notConfigured";"gray";"-1";"-1";"172234";"172234";"163894";;;;;;"False";"0";"10";"False";"False";"bios";"14";"none";"never";;"[ssd-016714] admsentinel_R77.30-bis/admsentinel_R77.30-bis.vmx";"[ssd-016714] admsentinel_R77.30-bis/";"[ssd-016714] admsentinel_R77.30-bis/";"[ssd-016714] admsentinel_R77.30-bis/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.78";"Red Hat Enterprise Linux 5 (32-bit)";;"vm-543036";"564de8ef-57b6-2c7e-8989-eab33dcccf92";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"AMADA11";"poweredOn";"False";"False";"green";"AMADA11.am.stago.grp";"connected";"running";"green";"False";"45270,7503009259";;"44385,5054513889";"45298,3434027778";"2";"4096";"1";"2";"intel-ivybridge";"normal";"True";"True";"172.20.220.13";"Vlan 305";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Active-Directory";;"True";"notConfigured";"gray";"-1";"-1";"168056";"140152";"135935";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[ssd-010350] AMADA11/AMADA11.vmx";"[ssd-010350] AMADA11/";"[ssd-010350] AMADA11/";"[ssd-010350] AMADA11/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.73";"Microsoft Windows Server 2016 or later (64-bit)";"Microsoft Windows Server 2016 or later (64-bit)";"vm-326806";"42360aae-acc8-418c-7cf5-79071e00479e";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"AMADA12";"poweredOn";"False";"False";"green";"AMADA12.am.stago.grp";"connected";"running";"green";"False";"45284,7503356481";;"44665,665787037";"45297,8348263889";"2";"4096";"1";"2";"intel-ivybridge";"normal";"True";"True";"172.20.220.14";"Vlan 305";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Active-Directory";;"True";"notConfigured";"gray";"-1";"-1";"168044";"139634";"135429";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[pcc-007875] AMADA12/AMADA12.vmx";"[pcc-007875] AMADA12/";"[pcc-007875] AMADA12/";"[pcc-007875] AMADA12/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.71";"Microsoft Windows Server 2016 or later (64-bit)";"Microsoft Windows Server 2016 or later (64-bit)";"vm-410234";"4236c9a7-e8b7-8d68-c656-6e3507aa6ce3";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"APPLBE02.stago.grp";"poweredOn";"False";"False";"green";"APPLBE02.stago.grp";"connected";"running";"green";"False";"45225,67125";;"25569,0416666667";"45299,0377893519";"2";"4096";"1";"1";"intel-ivybridge";"normal";;"True";"172.31.210.12";"Vlan 6";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Licence";;"True";"notConfigured";"gray";"-1";"-1";"137325";"88606";"84405";;;;;;"False";"10000";"10000";"False";"False";"bios";"15";"none";"never";;"[ssd-017937] APPLBE02.stago.grp/APPLBE02.stago.grp.vmx";"[ssd-017937] APPLBE02.stago.grp/";"[ssd-017937] APPLBE02.stago.grp/";"[ssd-017937] APPLBE02.stago.grp/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.73";"Microsoft Windows Server 2008 (32-bit)";"Microsoft Windows Server 2008 (32-bit)";"vm-302239";"4236b425-d976-8c8f-09fa-4afcb4c049f8";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"Arteion - EPDM-DB";"poweredOn";"False";"False";"green";"EPDM-DB.stago.grp";"connected";"running";"green";"False";"45277,2502199074";;"25569,0416666667";"45296,72125";"2";"6144";"1";"3";"intel-ivybridge";"normal";;"True";"172.31.136.244";"Vlan 136";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337";;"True";"notConfigured";"gray";"-1";"-1";"2006970";"1003660";"997434";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[ssd-013581] Arteion - EPDM-DB/Arteion - EPDM-DB.vmx";"[ssd-013581] Arteion - EPDM-DB/";"[ssd-013581] Arteion - EPDM-DB/";"[ssd-013581] Arteion - EPDM-DB/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.72";"Microsoft Windows Server 2016 or later (64-bit)";"Microsoft Windows Server 2016 or later (64-bit)";"vm-415994";"420cf8b8-c6b6-f738-4091-e47e6909b8d4";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"Arteion - GITLABDC";"poweredOn";"False";"False";"green";"gitlabdc";"connected";"running";"green";"False";"44881,3478356482";;"44551,7014814815";"45299,3715740741";"6";"8192";"1";"1";"intel-ivybridge";"normal";;"True";"172.31.136.240";"Vlan 136";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337";;"True";"notConfigured";"gray";"-1";"-1";"136762";"128792";"120029";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[ssd-014282] Arteion - GITLABDC/Arteion - GITLABDC-3.vmx";"[ssd-014282] Arteion - GITLABDC/";"[ssd-014282] Arteion - GITLABDC/";"[ssd-014282] Arteion - GITLABDC/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.52";"Debian GNU/Linux 8 (64-bit)";"Debian GNU/Linux 11 (64-bit)";"vm-379499";"420cfd36-b354-e2ae-63ec-1c63d06580b5";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"Arteion - MANTISDC";"poweredOn";"False";"False";"green";"mantisdc";"connected";"running";"green";"False";"44881,3476851852";;"44550,4428240741";"45299,3750462963";"1";"2048";"1";"1";"intel-ivybridge";"normal";;"True";"172.31.136.241";"Vlan 136";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Arteion";;"True";"notConfigured";"gray";"-1";"-1";"43568";"40620";"38011";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[ssd-014282] Arteion - MANTISDC/Arteion - MANTISDC-2.vmx";"[ssd-014282] Arteion - MANTISDC/";"[ssd-014282] Arteion - MANTISDC/";"[ssd-014282] Arteion - MANTISDC/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.52";"Debian GNU/Linux 8 (64-bit)";"Debian GNU/Linux 11 (64-bit)";"vm-379500";"420c6e55-cc6e-b731-9bd0-3577dd9056e3";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"Arteion - SQUASH";"poweredOn";"False";"False";"green";"SQUASH.stago.grp";"connected";"running";"green";"False";"45277,2503935185";;"25569,0416666667";"45296,7071180556";"2";"8192";"1";"1";"intel-ivybridge";"normal";"True";"True";"172.31.136.245";"Vlan 136";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Arteion";;"True";"notConfigured";"gray";"-1";"-1";"92006";"60501";"50415";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[ssd-014282] Arteion - SQUASH/Arteion - SQUASH.vmx";"[ssd-014282] Arteion - SQUASH/";"[ssd-014282] Arteion - SQUASH/";"[ssd-014282] Arteion - SQUASH/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.79";"Microsoft Windows Server 2016 or later (64-bit)";"Microsoft Windows Server 2016 or later (64-bit)";"vm-378447";"420ceb34-e5de-6c09-4332-deaf2a877aec";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"Arteion - TIME TRACKER";"poweredOn";"False";"False";"green";"srv-timetracker.stago.grp";"connected";"running";"green";"False";"45277,2502893519";;"25569,0416666667";"45298,4110069444";"2";"2840";"1";"1";"intel-ivybridge";"normal";;"True";"172.31.136.242";"Vlan 136";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Arteion";;"True";"notConfigured";"gray";"-1";"-1";"84844";"55535";"52610";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[ssd-016714] Arteion - TIME TRACKER/Arteion - TIME TRACKER.vmx";"[ssd-016714] Arteion - TIME TRACKER/";"[ssd-016714] Arteion - TIME TRACKER/";"[ssd-016714] Arteion - TIME TRACKER/";"Role AAD Sync rajout? le 26 Juin 2019 pour synchronisation des mots de passe ARTEION vers AZURER (O365).";;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.71";"Microsoft Windows Server 2016 or later (64-bit)";"Microsoft Windows Server 2016 or later (64-bit)";"vm-411339";"420c657b-24fd-f2b7-a1fd-a6d5e60713bb";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
